Company name,ASX code,GICS industry group
BOADICEA RESOURCES LIMITED,BOA,Materials
BOART LONGYEAR LIMITED,BLY,Materials
BOD AUSTRALIA LIMITED,BDA,Retailing
BOOKTOPIA GROUP LIMITED,BKG,Retailing
BOOM LOGISTICS LIMITED,BOL,Capital Goods
BORAL LIMITED.,BLD,Materials
BOSS ENERGY LTD,BOE,Materials
BOTANIX PHARMACEUTICALS LTD,BOT,"Pharmaceuticals, Biotechnology & Life Sciences"
BOUGAINVILLE COPPER LIMITED,BOC,Materials
BOUNTY OIL & GAS NL,BUY,Energy
BOWEN COKING COAL LIMITED,BCB,Materials
BOYUAN HOLDINGS LIMITED,BHL,Real Estate
BPH ENERGY LTD,BPH,"Pharmaceuticals, Biotechnology & Life Sciences"
BPM MINERALS LIMITED,BPM,Materials
BRAINCHIP HOLDINGS LTD,BRN,Software & Services
BRAMBLES LIMITED,BXB,Commercial & Professional Services
BRAVURA SOLUTIONS LIMITED.,BVS,Software & Services
BREAKER RESOURCES NL,BRB,Materials
BREVILLE GROUP LIMITED,BRG,Consumer Durables & Apparel
BRICKWORKS LIMITED,BKW,Materials
BRIGHTSTAR RESOURCES LIMITED,BTR,Materials
BRISBANE BRONCOS LIMITED,BBL,Media & Entertainment
BRISCOE GROUP AUSTRALASIA LIMITED,BGP,Retailing
BROCKMAN MINING LIMITED,BCK,Materials
BROO LTD,BEE,"Food, Beverage & Tobacco"
BROOKSIDE ENERGY LIMITED,BRK,Energy
BRYAH RESOURCES LIMITED,BYH,Materials
BSA LIMITED,BSA,Commercial & Professional Services
BSP FINANCIAL GROUP LIMITED,BFL,Banks
BTC HEALTH LTD,BTC,Not Applic
BUBS AUSTRALIA LIMITED,BUB,"Food, Beverage & Tobacco"
BUDDY TECHNOLOGIES LTD,BUD,Consumer Durables & Apparel
"BUILDINGIQ, INC",BIQ,Software & Services
BULLETIN RESOURCES LIMITED,BNR,Materials
BURGUNDY DIAMOND MINES LIMITED,BDM,Materials
BURLEY MINERALS LTD,BUR,Materials
BURU ENERGY LIMITED,BRU,Energy
BUTN LIMITED,BTN,Diversified Financials
BUXTON RESOURCES LIMITED,BUX,Materials
BWP TRUST,BWP,Real Estate
BWX LIMITED,BWX,Household & Personal Products
BYRON ENERGY LIMITED,BYE,Energy
CADENCE CAPITAL LIMITED,CDM,Not Applic
CAENEUS MINERALS LTD,CAD,Materials
CAISSE FRANCAISE DE FINANCEMENT LOCAL,DXA,Not Applic
CALIDUS RESOURCES LIMITED,CAI,Materials
CALIMA ENERGY LIMITED,CE1,Energy
CALIX LIMITED,CXL,Materials
CAMPLIFY HOLDINGS LIMITED,CHL,Transportation
CANDY CLUB HOLDINGS LIMITED,CLB,Food & Staples Retailing
CANN GLOBAL LIMITED,CGB,"Pharmaceuticals, Biotechnology & Life Sciences"
CANN GROUP LIMITED,CAN,"Pharmaceuticals, Biotechnology & Life Sciences"
CANNINDAH RESOURCES LIMITED,CAE,Materials
CANNON RESOURCES LIMITED,CNR,Materials
CANTERBURY RESOURCES LIMITED,CBY,Materials
CANYON RESOURCES LIMITED,CAY,Materials
CAPE RANGE LTD,CAG,Software & Services
CAPITOL HEALTH LIMITED,CAJ,Health Care Equipment & Services
CAPRAL LIMITED,CAA,Materials
CAPRICE RESOURCES LTD,CRS,Materials
CAPRICORN METALS LTD,CMM,Materials
CAQ HOLDINGS LIMITED,CAQ,Real Estate
CARAVEL MINERALS LIMITED,CVV,Materials
CARAWINE RESOURCES LIMITED,CWX,Materials
CARBINE RESOURCES LIMITED,CRB,Materials
CARBON MINERALS LIMITED,CRM,Energy
CARBON REVOLUTION LIMITED,CBR,Automobiles & Components
CARBONXT GROUP LIMITED,CG1,Materials
CARDIEX LIMITED,CDX,Health Care Equipment & Services
CARDNO LIMITED,CDD,Commercial & Professional Services
CARINDALE PROPERTY TRUST,CDP,Real Estate
CARLTON INVESTMENTS LIMITED,CIN,Not Applic
CARLY HOLDINGS LIMITED,CL8,Retailing
CARNABY RESOURCES LIMITED,CNB,Materials
CARNARVON PETROLEUM LIMITED,CVN,Energy
CARNAVALE RESOURCES LIMITED,CAV,Materials
CARNEGIE CLEAN ENERGY LIMITED,CCE,Utilities
CARPENTARIA RESOURCES LTD,CAP,Materials
CARSALES.COM LIMITED.,CAR,Media & Entertainment
CASH CONVERTERS INTERNATIONAL,CCV,Diversified Financials
CASHREWARDS LIMITED,CRW,Media & Entertainment
CASHWERKZ LIMITED,CWZ,Diversified Financials
CASPIN RESOURCES LIMITED,CPN,Materials
CASSIUS MINING LIMITED,CMD,Materials
CASTILE RESOURCES LTD,CST,Materials
CASTILLO COPPER LIMITED,CCZ,Materials
CASTLE MINERALS LIMITED,CDT,Materials
CATALYST METALS LIMITED,CYL,Materials
CATAPULT GROUP INTERNATIONAL LTD,CAT,Technology Hardware & Equipment
CAULDRON ENERGY LIMITED,CXU,Energy
CAZALY RESOURCES LIMITED,CAZ,Materials
CD PRIVATE EQUITY FUND I,CD1,Not Applic
CD PRIVATE EQUITY FUND II,CD2,Not Applic
CD PRIVATE EQUITY FUND III,CD3,Not Applic
CEDAR WOODS PROPERTIES LIMITED,CWP,Real Estate
CELAMIN HOLDINGS LIMITED,CNL,Materials
CELLMID LIMITED,CDY,"Pharmaceuticals, Biotechnology & Life Sciences"
CELLNET GROUP LIMITED,CLT,Technology Hardware & Equipment
CELSIUS RESOURCES LIMITED.,CLA,Materials
CENTAURUS METALS LIMITED,CTM,Materials
CENTRAL PETROLEUM LIMITED,CTP,Energy
CENTREPOINT ALLIANCE LIMITED,CAF,Diversified Financials
CENTREX METALS LIMITED,CXM,Materials
CENTURIA CAPITAL GROUP,CNI,Real Estate
CENTURIA FUNDS MANAGEMENT LIMITED,C2F,Not Applic
CENTURIA INDUSTRIAL REIT,CIP,Real Estate
CENTURIA OFFICE REIT,COF,Real Estate
CERVANTES CORPORATION LIMITED,CVS,Materials
CETTIRE LIMITED,CTT,Retailing
CFOAM LIMITED,CFO,Capital Goods
CHALICE MINING LIMITED,CHN,Materials
CHALLENGER EXPLORATION LIMITED,CEL,Energy
CHALLENGER LIMITED,CGF,Diversified Financials
CHALLENGER MILLENNIUM SERIES 2007-1E TRUST,CHJ,Not Applic
CHALLENGER MILLENNIUM SERIES 2007-2L TRUST,CHU,Not Applic
CHAMPION IRON LIMITED,CIA,Materials
CHANGE FINANCIAL LIMITED,CCA,Software & Services
CHARGER METALS NL,CHR,Materials
CHARTER HALL GROUP,CHC,Real Estate
CHARTER HALL LONG WALE REIT,CLW,Real Estate
CHARTER HALL RETAIL REIT,CQR,Real Estate
CHARTER HALL SOCIAL INFRASTRUCTURE REIT,CQE,Real Estate
CHASE MINING CORPORATION LIMITED,CML,Materials
CHESSER RESOURCES LIMITED,CHZ,Materials
CHIMERIC THERAPEUTICS LIMITED,CHM,"Pharmaceuticals, Biotechnology & Life Sciences"
CHINA CONSTRUCTION BANK CORPORATION,CCB,Not Applic
CHONGHERR INVESTMENTS LTD,CDH,Materials
CHORUS LIMITED,CNU,Telecommunication Services
CI RESOURCES LIMITED,CII,Materials
CIMIC GROUP LIMITED,CIM,Capital Goods
CIPHERPOINT LIMITED,CPT,Software & Services
CIRRALTO LIMITED,CRO,Software & Services
CIRRUS NETWORKS HOLDINGS LIMITED,CNW,Software & Services
CITIGOLD CORPORATION LIMITED,CTO,Materials
CITY CHIC COLLECTIVE LIMITED,CCX,Retailing
CIVMEC LIMITED,CVL,Capital Goods
CLASS LIMITED,CL1,Software & Services
CLASSIC MINERALS LTD,CLZ,Materials
CLEAN SEAS SEAFOOD LIMITED,CSS,"Food, Beverage & Tobacco"
CLEAN TEQ WATER LIMITED,CNQ,Commercial & Professional Services
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY,Commercial & Professional Services
CLEANSPACE HOLDINGS LIMITED,CSX,Health Care Equipment & Services
CLEARVIEW WEALTH LIMITED,CVW,Diversified Financials
CLEARVUE TECHNOLOGIES LIMITED,CPV,Capital Goods
CLIME CAPITAL LIMITED,CAM,Not Applic
CLIME INVESTMENT MANAGEMENT LTD,CIW,Diversified Financials
CLINUVEL PHARMACEUTICALS LIMITED,CUV,"Pharmaceuticals, Biotechnology & Life Sciences"
CLOVER CORPORATION LIMITED,CLV,Materials
CLUEY LTD,CLU,Consumer Services
COBALT BLUE HOLDINGS LIMITED,COB,Materials
COBRE LIMITED,CBE,Materials
COCHLEAR LIMITED,COH,Health Care Equipment & Services
CODA MINERALS LTD,COD,Materials
CODAN LIMITED,CDA,Technology Hardware & Equipment
CODRUS MINERALS LIMITED,CDR,Materials
COG FINANCIAL SERVICES LIMITED,COG,Diversified Financials
COGSTATE LTD,CGS,Health Care Equipment & Services
COHIBA MINERALS LIMITED,CHK,Materials
COKAL LIMITED,CKA,Materials
COLES GROUP LIMITED.,COL,Food & Staples Retailing
COLLECTION HOUSE LIMITED,CLH,Diversified Financials
COLLINS FOODS LIMITED,CKF,Consumer Services
COMET RESOURCES LIMITED,CRL,Materials
COMET RIDGE LIMITED,COI,Energy
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks
COMMS GROUP LTD,CCG,Software & Services
COMPLII FINTECH SOLUTIONS LTD,CF1,Software & Services
COMPUMEDICS LIMITED,CMP,Health Care Equipment & Services
COMPUTERSHARE LIMITED.,CPU,Software & Services
CONICO LTD,CNJ,Materials
CONNECTED IO LIMITED,CIO,Technology Hardware & Equipment
CONNEXION TELEMATICS LTD,CXZ,Software & Services
CONSOLIDATED FINANCIAL HOLDINGS LIMITED,CWL,Software & Services
CONSOLIDATED ZINC LIMITED,CZL,Materials
CONSTELLATION RESOURCES LIMITED,CR1,Materials
CONSTELLATION TECHNOLOGIES LIMITED,CT1,Technology Hardware & Equipment
CONTACT ENERGY LIMITED,CEN,Utilities
CONTANGO ASSET MANAGEMENT LIMITED,CGA,Diversified Financials
CONTANGO INCOME GENERATOR  LIMITED,CIE,Not Applic
CONTROL BIONICS LIMITED,CBL,Health Care Equipment & Services
COOPER ENERGY LIMITED,COE,Energy
COPPER MOUNTAIN MINING CORPORATION,C6C,Materials
COPPER STRIKE LIMITED,CSE,Materials
COPPERMOLY LIMITED,COY,Materials
CORAZON MINING LIMITED,CZN,Materials
CORE LITHIUM LTD,CXO,Materials
CORELLA RESOURCES LTD,CR9,Materials
CORONADO GLOBAL RESOURCES INC.,CRN,Materials
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD,Consumer Services
CORUM GROUP LIMITED,COO,Software & Services
COSOL LIMITED,COS,Software & Services
COSTA GROUP HOLDINGS LIMITED,CGC,"Food, Beverage & Tobacco"
COUGAR METALS NL,CGM,Materials
COUNTPLUS LIMITED,CUP,Commercial & Professional Services
COUNTY INTERNATIONAL LIMITED,CCJ,Energy
COVENTRY GROUP LIMITED,CYG,Capital Goods
CPT GLOBAL LIMITED,CGO,Software & Services
CRADLE RESOURCES LIMITED,CXX,Materials
CRATER GOLD MINING LIMITED,CGN,Materials
CREDIT CLEAR LIMITED,CCR,Software & Services
CREDIT CORP GROUP LIMITED,CCP,Diversified Financials
CREDIT INTELLIGENCE LTD,CI1,Commercial & Professional Services
CRESO PHARMA LIMITED,CPH,"Pharmaceuticals, Biotechnology & Life Sciences"
CRITICAL RESOURCES LIMITED,CRR,Materials
CROMWELL PROPERTY GROUP,CMW,Real Estate
CRONOS AUSTRALIA LIMITED,CAU,Health Care Equipment & Services
CROPLOGIC LIMITED,CLI,Commercial & Professional Services
CROWD MEDIA HOLDINGS LIMITED,CM8,Media & Entertainment
CROWN RESORTS LIMITED,CWN,Consumer Services
CRUSADE ABS SERIES 2017-1 TRUST,CU2,Not Applic
CRYOSITE LIMITED,CTE,"Pharmaceuticals, Biotechnology & Life Sciences"
CSL LIMITED,CSL,"Pharmaceuticals, Biotechnology & Life Sciences"
CSR LIMITED,CSR,Materials
CTI LOGISTICS LIMITED,CLX,Transportation
CUE ENERGY RESOURCES LIMITED,CUE,Energy
CULLEN RESOURCES LIMITED,CUL,Materials
CULPEO MINERALS LIMITED,CPO,Class Pend
CV CHECK LTD,CV1,Software & Services
CVC LIMITED,CVC,Diversified Financials
CYCLIQ GROUP LTD,CYQ,Consumer Durables & Apparel
CYCLONE METALS LIMITED,CLE,Materials
CYCLOPHARM LIMITED,CYC,Health Care Equipment & Services
CYGNUS GOLD LIMITED,CY5,Materials
CYNATA THERAPEUTICS LIMITED,CYP,"Pharmaceuticals, Biotechnology & Life Sciences"
CYPRIUM METALS LIMITED,CYM,Materials
CZR RESOURCES LTD,CZR,Materials
DACIAN GOLD LIMITED,DCN,Materials
DALRYMPLE BAY INFRASTRUCTURE LIMITED,DBI,Transportation
DAMSTRA HOLDINGS LIMITED,DTC,Software & Services
DANAKALI LIMITED,DNK,Materials
DART MINING NL,DTM,Materials
DATA#3 LIMITED,DTL,Software & Services
DATADOT TECHNOLOGY LIMITED,DDT,Automobiles & Components
DATELINE RESOURCES LIMITED,DTR,Materials
DC TWO LIMITED,DC2,Class Pend
DDH1 LIMITED,DDH,Materials
DE GREY MINING LIMITED,DEG,Materials
DE.MEM LIMITED,DEM,Utilities
DEALT LIMITED,DET,Real Estate
DECMIL GROUP LIMITED,DCG,Capital Goods
DEEP YELLOW LIMITED,DYL,Energy
DELECTA LIMITED,DLC,Retailing
DELOREAN CORPORATION LIMITED,DEL,Utilities
DELTA DRONE INTERNATIONAL LIMITED,DLT,Technology Hardware & Equipment
DESANE GROUP HOLDINGS LIMITED,DGH,Real Estate
DESERT METALS LIMITED,DM1,Materials
DESIGN MILK CO LIMITED,DMC,Retailing
DETERRA ROYALTIES LIMITED,DRR,Materials
DEVEX RESOURCES LIMITED,DEV,Energy
DEVINE LIMITED,DVN,Real Estate
DEXUS,DXS,Real Estate
DGL GROUP LIMITED,DGL,Materials
DGO GOLD LIMITED,DGO,Materials
DGR GLOBAL LIMITED,DGR,Materials
DIATREME RESOURCES LIMITED,DRX,Materials
DICKER DATA LIMITED,DDR,Technology Hardware & Equipment
DIGITAL WINE VENTURES LIMITED,DW8,Retailing
DIGITALX LIMITED,DCC,Software & Services
DIMERIX LIMITED,DXB,"Pharmaceuticals, Biotechnology & Life Sciences"
DISCOVERY AFRICA LIMITED,DAF,Materials
DISCOVEX RESOURCES LIMITED,DCX,Materials
DIVERSIFIED UNITED INVESTMENT LIMITED,DUI,Not Applic
DJERRIWARRH INVESTMENTS LIMITED,DJW,Not Applic
DOCTOR CARE ANYWHERE GROUP PLC,DOC,Health Care Equipment & Services
DOMACOM LIMITED,DCL,Diversified Financials
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG,Media & Entertainment
DOME GOLD MINES LIMITED,DME,Materials
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP,Consumer Services
DONACO INTERNATIONAL LIMITED,DNA,Consumer Services
DORIEMUS PLC,DOR,Energy
DORSAVI LTD,DVL,"Pharmaceuticals, Biotechnology & Life Sciences"
DOTZ NANO LIMITED,DTZ,Semiconductors & Semiconductor Equipment
DOUUGH LIMITED,DOU,Telecommunication Services
DOWNER EDI LIMITED,DOW,Commercial & Professional Services
DOWNER GROUP FINANCE PTY LIMITED,DGF,Not Applic
DRA GLOBAL LIMITED,DRA,Capital Goods
DRAGON MOUNTAIN GOLD LIMITED,DMG,Materials
DRAGONTAIL SYSTEMS LIMITED,DTS,Software & Services
DREADNOUGHT RESOURCES LTD,DRE,Materials
DRIVER AUSTRALIA FIVE TRUST,DA1,Not Applic
DRIVER AUSTRALIA MASTER TRUST,DAM,Not Applic
DRIVER AUSTRALIA SIX TRUST,DAS,Not Applic
DRONESHIELD LIMITED,DRO,Capital Goods
DROPSUITE LIMITED,DSE,Software & Services
DTI GROUP LTD,DTI,Technology Hardware & Equipment
DUBBER CORPORATION LIMITED,DUB,Software & Services
DUG TECHNOLOGY LTD,DUG,Software & Services
DUKE EXPLORATION LIMITED,DEX,Materials
DUKETON MINING LIMITED,DKM,Materials
DURATEC LIMITED,DUR,Capital Goods
DUSK GROUP LIMITED,DSK,Retailing
DUXTON BROADACRE FARMS LIMITED,DBF,"Food, Beverage & Tobacco"
DUXTON WATER LIMITED,D2O,Utilities
DXN LIMITED,DXN,Software & Services
DYNAMIC DRILL AND BLAST HOLDINGS LIMITED,DDB,Capital Goods
E&P FINANCIAL GROUP LIMITED,EP1,Diversified Financials
E2 METALS LIMITED,E2M,Materials
EAGERS AUTOMOTIVE LIMITED,APE,Retailing
EAGLE MOUNTAIN MINING LIMITED,EM2,Materials
EARLYPAY LTD,EPY,Diversified Financials
EAST 33 LIMITED.,ETT,Class Pend
EAST ENERGY RESOURCES LIMITED,EER,Energy
EASTERN IRON LIMITED,EFE,Materials
EASTON INVESTMENTS LIMITED,EAS,Diversified Financials
EBOS GROUP LIMITED,EBO,Health Care Equipment & Services
ECARGO HOLDINGS LIMITED,ECG,Commercial & Professional Services
ECLIPSE METALS LIMITED.,EPM,Energy
ECLIPX GROUP LIMITED,ECX,Diversified Financials
ECOFIBRE LIMITED,EOF,"Pharmaceuticals, Biotechnology & Life Sciences"
ECOGRAF LIMITED,EGR,Materials
ECP EMERGING GROWTH LIMITED,ECP,Not Applic
ECS BOTANICS HOLDINGS LTD,ECS,"Pharmaceuticals, Biotechnology & Life Sciences"
EDEN INNOVATIONS LTD,EDE,Energy
EILDON CAPITAL GROUP,EDC,Diversified Financials
ELANOR COMMERCIAL PROPERTY FUND,ECF,Real Estate
ELANOR INVESTORS GROUP,ENN,Consumer Services
ELANOR RETAIL PROPERTY FUND,ERF,Real Estate
ELDERS LIMITED,ELD,"Food, Beverage & Tobacco"
ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,EOS,Capital Goods
ELEMENT 25 LIMITED,E25,Materials
ELEMENTOS LIMITED,ELT,Materials
ELEVATE URANIUM LTD,EL8,Energy
ELIXINOL WELLNESS LIMITED,EXL,Household & Personal Products
ELIXIR ENERGY LIMITED,EXR,Energy
ELLERSTON ASIAN INVESTMENTS LIMITED,EAI,Not Applic
ELMO SOFTWARE LIMITED,ELO,Software & Services
ELMORE LTD,ELE,Materials
ELSIGHT LIMITED,ELS,Technology Hardware & Equipment
EMBELTON LIMITED,EMB,Capital Goods
EMECO HOLDINGS LIMITED,EHL,Capital Goods
EMERALD RESOURCES NL,EMR,Materials
EMERGE GAMING LIMITED,EM1,Media & Entertainment
EMETALS LIMITED,EMT,Not Applic
EMIRATES NBD PJSC,EMI,Not Applic
EML PAYMENTS LIMITED,EML,Software & Services
EMMERSON RESOURCES LIMITED,ERM,Materials
EMPEROR ENERGY LIMITED,EMP,Energy
EMPIRE ENERGY GROUP LIMITED,EEG,Energy
EMPIRE RESOURCES LIMITED,ERL,Materials
EMPIRED LTD,EPD,Software & Services
EMU NL,EMU,Materials
EMVISION MEDICAL DEVICES LTD,EMV,Health Care Equipment & Services
EMYRIA LIMITED,EMD,Health Care Equipment & Services
ENCOUNTER RESOURCES LIMITED,ENR,Materials
ENDEAVOUR GROUP LIMITED,EDV,Food & Staples Retailing
ENECO REFRESH LTD,ERG,"Food, Beverage & Tobacco"
ENEGEX LIMITED,ENX,Materials
ENERGY ACTION LIMITED,EAX,Commercial & Professional Services
ENERGY METALS LTD,EME,Energy
ENERGY ONE LIMITED,EOL,Software & Services
ENERGY RESOURCES OF AUSTRALIA LIMITED,ERA,Energy
ENERGY TECHNOLOGIES LIMITED,EGY,Capital Goods
ENERGY WORLD CORPORATION LTD,EWC,Utilities
ENERO GROUP LIMITED,EGG,Media & Entertainment
ENGAGE:BDR LIMITED,EN1,Media & Entertainment
ENGENCO LIMITED,EGN,Capital Goods
ENNOX GROUP LTD,EXO,Diversified Financials
ENOVA MINING LIMITED,ENV,Materials
ENSURANCE LTD,ENA,Insurance
ENTERPRISE METALS LIMITED,ENT,Materials
ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,ECT,Commercial & Professional Services
ENVIRONMENTAL GROUP LIMITED (THE),EGL,Capital Goods
ENVIROSUITE LIMITED,EVS,Software & Services
EON NRG LIMITED,E2E,Energy
EP&T GLOBAL LIMITED,EPX,Software & Services
EPSILON HEALTHCARE LIMITED,EPN,"Pharmaceuticals, Biotechnology & Life Sciences"
EQ RESOURCES LIMITED,EQR,Materials
EQT HOLDINGS LIMITED,EQT,Diversified Financials
EQUATORIAL RESOURCES LIMITED,EQX,Materials
EQUUS MINING LIMITED,EQE,Materials
EROAD LIMITED,ERD,Technology Hardware & Equipment
ERRAWARRA RESOURCES LTD,ERW,Materials
ESENSE-LAB LTD,ESE,"Pharmaceuticals, Biotechnology & Life Sciences"
